District,Region,Latitude,Longitude
"Central and Western,Hong Kong",Hong Kong Island,22.2850394,114.1583819
"Wan Chai,Hong Kong",Hong Kong Island,22.2790146,114.1724833
"Sham Shui Po,Hong Kong",Kowloon,22.32819,114.1608545
"Kowloon City,Hong Kong",Kowloon,22.3301595,114.1899368
"Kwun Tong,Hong Kong",Kowloon,22.312937,114.22561
"Wong Tai Sin,Hong Kong",Kowloon,22.34165365,114.19385869532955
"Yau Tsim Mong,Hong Kong",Kowloon,22.3074036,114.16552591155013
"Kwai Tsing,Hong Kong",New Territories,22.34100685,114.10428549895929
"Sai Kung,Hong Kong",New Territories,22.3822489,114.2728277
"Sha Tin,Hong Kong",New Territories,22.3810557,114.1888792
"Tai Po,Hong Kong",New Territories,22.4494017,114.1711328
"Tsuen Wan,Hong Kong",New Territories,22.3716605,114.1134699
"Tuen Mun,Hong Kong",New Territories,22.3908265,113.9731687
"Yuen Long,Hong Kong",New Territories,22.4426463,114.0304342
