District,Postal District,Latitude,Longitude
"Raffles Place,Singapore",1,1.2844077,103.85139
"Anson,Singapore",2,1.2758152,103.8464915
"Bukit Merah,Singapore",3,1.2806275,103.8305915
"Telok Blangah,Singapore",4,1.2705858,103.8098632
"Pasir Panjang,Singapore",5,1.27620135,103.7914758234202
"High Street,Singapore",6,1.2897637,103.8505547
"Middle Road,Singapore",7,1.2963356,103.8562969
"Little India,Singapore",8,1.3066476,103.8492691
"Orchard,Singapore",9,1.305272,103.8328757
"Ardmore,Singapore",10,1.30875995,103.8295891925593
"Watten Estate,Singapore",11,1.3319213,103.8090138
"Balestier,Singapore",12,1.326226,103.8473149
"Macpherson,Singapore",13,1.3262838,103.8897064
"Geylang,Singapore",14,1.3181862,103.8870563
"Katong,Singapore",15,1.3052327,103.90505238485225
"Bedok,Singapore",16,1.3239765,103.930216
"Loyang,Singapore",17,1.3753678,103.9772924
"Simei,Singapore",18,1.3431881,103.953371
"Serangoon Garden,Singapore",19,1.3624579,103.8660127
"Bishan,Singapore",20,1.3514521,103.8482496
"Upper Bukit Timah,Singapore",21,1.3294484,103.794166
"Jurong,Singapore",22,1.2596166,103.67047129833682
"Hillview,Singapore",23,1.3624042,103.76742729372796
"Lim Chu Kang,Singapore",24,1.4342172,103.7149872
"Kranji,Singapore",25,1.4252189,103.7619891
"Upper Thomson,Singapore",26,1.3954889,103.8159239
"Yishun,Singapore",27,1.4293839,103.8350282
"Seletar,Singapore",28,1.4098488,103.8773789
