District,Postal Code,Latitude,Longitude
"Jinshan District ,Shanghai",201500,30.8166345,121.27957949702657
"Songjiang District ,Shanghai",201600,31.029593249999998,121.21083753446175
"Qingpu District ,Shanghai",201700,31.11763095,121.01643595877275
"Jiading District ,Shanghai",201800,31.36410515,121.21845819247659
"Baoshan District ,Shanghai",201900,31.393338149999998,121.41758807072324
"Chongming County ,Shanghai",202150,31.6313393,121.5337768
"Shanghai City ,Shanghai",200000,31.2252985,121.4890497
"Pudong New Area ,Shanghai",200120,31.24075985,121.59199898937621
"Minhang District ,Shanghai",201100,31.1199156,121.3909400690813
"Nanhui District ,Shanghai",201300,31.2307352,121.4530265
"Fengxian District ,Shanghai",201400,30.893686449999997,121.56531421822875
